Index	Name	Description	File Name	Quantity
2.15	BF_004		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
2.16	400mm Ball Screw001		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
2.17	Upper Ball Screw Nut Extension003		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
2.18	NEMA 17 Stepper004		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
2.19	300mm Linear Rail		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	2
2.20	400mm 2020 Aluminum Extrusion		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	2
2.21	Z-axis Stepper Brace		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
2.22	XYbracket1		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
2.23	XYbracket2		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
2.24	Upper Stepper Brace		C:/Users/dhrid/OneDrive/Documents/GitHub/TAR-CNC-Machine/CAD/Upper Axis.FCStd	1
